Project ID,Monitoring Location ID,Activity Media Name,Activity Media Subdivision Name,Activity ID,Activity Start Date,Activity Start Time,Activity Start Time Zone,Activity Latitude,Activity Longitude,Activity Type,Activity Depth/Height Measure,Activity Depth/Height Unit,Activity Comment,Characteristic Name,Result Analytical Method ID,Result Analytical Method Context,Result Value,Result Unit,Result Qualifier,Result Weight Basis,Result Sample Fraction,Result Value Type,Sample Collection Equipment Name,Result Detection Condition,Result Status ID,Result Detection Limit Type 1,Result Detection Limit Value 1,Result Detection Limit Unit 1,Result Detection Limit Type 2,Result Detection Limit Value 2,Result Detection Limit Unit 2,Laboratory Name,Laboratory Comment Text,Analysis Start Date,Analysis Start Time,Analysis Start Time Zone,Thermal Preservative,Sample Container Type,Sample Container Color,Chemical Preservative Used,,"Activity Horizontal Collection Method, Activity Horizontal Reference Datum, Analysis Start Time, Characteristic Name, Result Status ID"
10000007,KENAI_WQX-10000028,Water,Surface Water,KBL_m_43.0-2021-05-11-Total P,5/11/2021,9:34:00,AKDT,60.489844,-150.636905,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0228,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341012,5/18/2021,18:59:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000029,Water,Surface Water,KBL_t_44.0-2021-05-11-Total P,5/11/2021,8:57:00,AKDT,60.481518,-150.632498,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0151,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341013,5/18/2021,19:00:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000030,Water,Surface Water,KBL_t_50.0-2021-05-11-Total P,5/11/2021,7:21:00,AKDT,60.467517,-150.507789,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341014,5/18/2021,19:04:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000005,Water,Surface Water,KBL_m_06.5-2021-05-11-Total P,5/11/2021,9:15:00,AKDT,60.54081,-151.18278,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.189,mg/L,=,Sampled,Total,Actual,Water Bottle,NA,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341018,5/18/2021,19:12:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000031,Water,Surface Water,KBL_t_70.0-2021-05-11-Total P,5/11/2021,10:25:00,AKDT,60.481392,-150.11502,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341001,5/18/2021,18:47:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000032,Water,Surface Water,KBL_t_74.0-2021-05-11-Total P,5/11/2021,9:34:00,AKDT,60.484622,-149.993955,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341002,5/18/2021,18:48:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000424,Water,Surface Water,KBL_t_79.5-2021-05-11-Total P,5/11/2021,8:36:00,AKDT,60.489,-149.877,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,0.0212,mg/L,J,Sampled,Total,Actual,Water Bottle,Present Below Quantification Limit,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341003,5/18/2021,18:49:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000425,Water,Surface Water,KBL_m_82.0-2021-05-11-Total P,5/11/2021,7:56:00,AKDT,60.492007,-149.810844,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1212341004,5/18/2021,18:50:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Total Nitrate/Nitrite-N,7/27/2021,9:30:00,AKDT,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,Total Nitrate/Nitrite-N,4500-NO3(F),APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.2,mg/L,Method Detection Level,0.1,mg/L,"SGS North America, Anchorage, Alaska",1214655001,8/2/2021,11:44:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Total P,7/27/2021,9:30:00,AKDT,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,Total Phosphorus,4500-P-E,APHA,NA,mg/L,U,Sampled,Total,Actual,Water Bottle,Not Detected,,Limit of Quantitation,0.04,mg/L,Method Detection Level,0.02,mg/L,"SGS North America, Anchorage, Alaska",1214655001,8/2/2021,17:08:00,AKDT,Cold packs,Plastic Bottle,Opaque,H2SO4,,
10000007,KENAI_WQX-10000008,Water,Surface Water,KBL_t_00.0-2021-07-27-Al,7/27/2021,9:30:00,AKDT,60.550888,-151.268417,Field Msr/Obs,15,cm,NA,Aluminum,200.8,USEPA,NA,ug/L,U,Sampled,"Filtered, field",Actual,Water Bottle,Not Detected,,Limit of Quantitation,20,ug/L,Method Detection Level,10,ug/L,"SGS North America, Anchorage, Alaska",1214655025,8/5/2021,9:53:00,AKDT,Cold packs,Plastic Bottle,Opaque,HNO3,,
