,sample,collect_date,sample_type,sample_condition,sample_condition_abbrv,analyte,lab_name,result
236,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Silver,"SGS North America, Anchorage, Alaska",NA
237,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Thallium,"SGS North America, Anchorage, Alaska",NA
238,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Tin,"SGS North America, Anchorage, Alaska",NA
239,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Titanium,"SGS North America, Anchorage, Alaska",NA
240,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Vanadium,"SGS North America, Anchorage, Alaska",NA
241,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Zinc,"SGS North America, Anchorage, Alaska",12.3
242,RM_0_No_Name_Creek_,7/27/2021,PS,Field Duplicate,DUP,Sodium,"SGS North America, Anchorage, Alaska",39500
798,RM_1.5,5/11/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",551
822,RM_1.5,7/27/2021,PS,NA,NA,Total suspended solids,"Soldotna Wastewater Treatment Plant, Soldotna, Alaska",105
245,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Total Nitrate/Nitrite-N,"SGS North America, Anchorage, Alaska",NA
246,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Total Phosphorus,"SGS North America, Anchorage, Alaska",0.0749
247,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Benzene,"SGS North America, Anchorage, Alaska",NA
248,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Ethylbenzene,"SGS North America, Anchorage, Alaska",NA
249,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,o-Xylene,"SGS North America, Anchorage, Alaska",NA
250,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,P & M -Xylene,"SGS North America, Anchorage, Alaska",NA
251,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Toluene,"SGS North America, Anchorage, Alaska",NA
252,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Xylenes (total),"SGS North America, Anchorage, Alaska",NA
253,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Aluminum,"SGS North America, Anchorage, Alaska",NA
254,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Antimony,"SGS North America, Anchorage, Alaska",NA
255,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Arsenic,"SGS North America, Anchorage, Alaska",NA
256,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Barium,"SGS North America, Anchorage, Alaska",9.57
257,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Beryllium,"SGS North America, Anchorage, Alaska",NA
258,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Cadmium,"SGS North America, Anchorage, Alaska",NA
259,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Chromium,"SGS North America, Anchorage, Alaska",NA
260,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Cobalt,"SGS North America, Anchorage, Alaska",NA
261,RM_1.5_Kenai_City_Dock,7/27/2021,PS,NA,NA,Copper,"SGS North America, Anchorage, Alaska",1.73
