"characteristic_name","activity_start_date","result_sample_fraction_text","result_measure_value","result_measure_measure_unit_code","trib_mainstem","tributary_name","site_name","season","fw_acute_std","fw_chronic_std","fw_acute_exceed","fw_chronic_exceed"
"Arsenic","2012-07-31","Dissolved",0.99,"ug/l","m",NA,"40","Summer",NA,NA,NA,NA
"Arsenic","2003-07-22","Dissolved",5.2,"ug/l","t","Moose River","Moose River","Summer",NA,NA,NA,NA
"Copper","2009-07-21","Dissolved",0.576,"ug/l","m",NA,"40","Summer",4.57722993915569,3.38473117597559,NA,NA
"Arsenic","2010-04-27","Dissolved",0.48,"ug/l","m",NA,"82","Spring",NA,NA,NA,NA
"Copper","2012-07-31","Dissolved",0.397,"ug/l","m",NA,"50","Summer",4.70264922718694,3.46873634884317,NA,NA
"Chromium","2007-07-17","Dissolved",0.511,"ug/l","m",NA,"50","Summer",617.913151825833,29.5341705447095,NA,NA
"Copper","2010-07-27","Dissolved",0.332,"ug/l","m",NA,"50","Summer",5.08154565372527,3.72127780200354,NA,NA
"Chromium","2012-05-01","Dissolved",0.211,"ug/l","m",NA,"50","Spring",678.800927419815,32.4444014455522,NA,NA
"Copper","2011-04-26","Dissolved",0.534,"ug/l","m",NA,"50","Spring",4.25702434191551,3.16927036120702,NA,NA
"Zinc","2007-07-17","Dissolved",10.9,"ug/l","m",NA,"50","Summer",39.5699686690559,39.5699686690559,NA,NA
"Zinc","2000-07-18","Dissolved",11,"ug/l","m",NA,"50","Summer",43.1089498010445,43.1089498010445,NA,NA
"Arsenic","2010-04-27","Dissolved",0.979,"ug/l","m",NA,"50","Spring",NA,NA,NA,NA
"Copper","2008-04-22","Dissolved",0.757,"ug/l","m",NA,"23","Spring",4.95754369502558,3.63882770831101,NA,NA
"Chromium","2006-04-25","Dissolved",0.299,"ug/l","m",NA,"23","Spring",682.415110613363,32.6171472472926,NA,NA
"Zinc","2010-04-27","Dissolved",22.2,"ug/l","m",NA,"40","Spring",42.7977219333531,42.7977219333531,NA,NA
"Zinc","2002-07-16","Dissolved",33,"ug/l","m",NA,"40","Summer",39.6146464113274,39.6146464113274,NA,NA
"Arsenic","2006-04-25","Dissolved",0.799,"ug/l","m",NA,"70","Spring",NA,NA,NA,NA
"Zinc","2013-05-07","Dissolved",3.16,"ug/l","m",NA,"70","Spring",56.9565982546984,56.9565982546984,NA,NA
"Zinc","2011-04-26","Dissolved",18.3,"ug/l","m",NA,"70","Spring",57.8220059735277,57.8220059735277,NA,NA
"Arsenic","2008-04-22","Dissolved",0.644,"ug/l","m",NA,"70","Spring",NA,NA,NA,NA
"Zinc","2004-04-27","Dissolved",34.2,"ug/l","m",NA,"70","Spring",53.1623320440298,53.1623320440298,NA,NA
"Copper","2009-07-21","Dissolved",0.469,"ug/l","m",NA,"70","Summer",5.92010255498178,4.27416394354979,NA,NA
"Copper","2000-07-18","Dissolved",6,"ug/l","m",NA,"70","Summer",6.98373927799565,4.9651303438791,NA,"Y"
"Chromium","2010-04-27","Dissolved",0.264,"ug/l","m",NA,"70","Spring",854.79718839361,40.8564308245552,NA,NA
"Zinc","2005-07-26","Dissolved",19.1,"ug/l","m",NA,"70","Summer",49.3041129060041,49.3041129060041,NA,NA
"Zinc","2009-04-28","Dissolved",0.572,"ug/l","m",NA,"70","Spring",56.902836780542,56.902836780542,NA,NA
"Arsenic","2012-05-01","Dissolved",0.843,"ug/l","m",NA,"70","Spring",NA,NA,NA,NA
"Zinc","2005-04-26","Dissolved",24.4,"ug/l","t","Russian River","Russian River","Spring",56.2835174550589,56.2835174550589,NA,NA
"Zinc","2001-04-11","Dissolved",44,"ug/l","m",NA,"82","Spring",50.8080155005424,50.8080155005424,NA,NA
"Arsenic","2006-04-25","Dissolved",0.807,"ug/l","m",NA,"70","Spring",NA,NA,NA,NA
"Chromium","2006-07-25","Dissolved",5.26,"ug/l","t","Moose River","Moose River","Summer",1458.45353005092,69.7091737904918,NA,NA
"Cadmium","2000-07-18","Dissolved",0.1,"ug/l","m",NA,"31","Summer",0.625281917154292,0.106587668173459,NA,NA
"Zinc","2001-07-24","Dissolved",34.6,"ug/l","t","Russian River","Russian River","Summer",50.3225485086409,50.3225485086409,NA,NA
"Chromium","2009-07-21","Dissolved",1.59,"ug/l","t","Russian River","Russian River","Summer",959.885852530275,45.8793155450972,NA,NA
"Copper","2010-04-27","Dissolved",0.381,"ug/l","t","Russian River","Russian River","Spring",6.73293515428834,4.80314295589832,NA,NA
"Zinc","2007-05-01","Dissolved",20.8,"ug/l","t","Russian River","Russian River","Spring",54.1632776844454,54.1632776844454,NA,NA
"Zinc","2005-07-26","Dissolved",19.6,"ug/l","t","Russian River","Russian River","Summer",58.253833851647,58.253833851647,NA,NA
"Zinc","2012-07-31","Dissolved",30.4,"ug/l","t","Russian River","Russian River","Summer",54.813283058539,54.813283058539,NA,NA
"Copper","2007-07-17","Dissolved",0.291,"ug/l","t","Russian River","Russian River","Summer",5.90856931760014,4.26661160331904,NA,NA
"Zinc","2007-07-17","Dissolved",15.5,"ug/l","t","Russian River","Russian River","Summer",55.1609005151802,55.1609005151802,NA,NA
"Copper","2005-04-26","Dissolved",3,"ug/l","t","Russian River","Russian River","Spring",6.41106009246247,4.59442501090766,NA,NA
"Arsenic","2007-07-17","Dissolved",1.14,"ug/l","t","Russian River","Russian River","Summer",NA,NA,NA,NA
"Chromium","2011-04-26","Dissolved",0.581,"ug/l","t","Russian River","Russian River","Spring",898.416201482816,42.941272954492,NA,NA
"Zinc","2006-04-25","Dissolved",7.6,"ug/l","t","Russian River","Russian River","Spring",60.2151519745147,60.2151519745147,NA,NA
"Chromium","2010-07-27","Dissolved",0.229,"ug/l","m",NA,"21","Summer",643.780174087378,30.7705272150585,NA,NA
"Lead","2007-05-01","Dissolved",0.75,"ug/l","m",NA,"70","Spring",21.8441796382663,0.851236320065882,NA,NA
"Lead","2006-07-25","Dissolved",0.201,"ug/l","t","Killey River","Killey River","Summer",16.2064722887742,0.631542958389656,NA,NA
"Zinc","2005-04-26","Dissolved",21,"ug/l","m",NA,"43","Spring",45.8057353420447,45.8057353420447,NA,NA
"Copper","2008-04-22","Dissolved",0.276,"ug/l","t","Funny River","Funny River","Spring",5.27470510772324,3.84934050637157,NA,NA
"Chromium","2006-04-25","Dissolved",0.894,"ug/l","m",NA,"43","Spring",666.772964759296,31.8695052817927,NA,NA
"Copper","2009-07-21","Dissolved",0.315,"ug/l","t","Juneau Creek","Juneau Creek","Summer",6.1796306287252,4.44375468968676,NA,NA
"Zinc","2010-07-27","Dissolved",16.3,"ug/l","m",NA,"82","Summer",54.9239969738992,54.9239969738992,NA,NA
"Arsenic","2009-07-21","Dissolved",0.511,"ug/l","m",NA,"70","Summer",NA,NA,NA,NA
"Zinc","2001-07-24","Dissolved",34.6,"ug/l","m",NA,"70","Summer",47.203983664305,47.203983664305,NA,NA
"Copper","2008-04-22","Dissolved",1.17,"ug/l","m",NA,"70","Spring",5.91437490607719,4.27041346346765,NA,NA
"Zinc","2004-04-27","Dissolved",37.9,"ug/l","t","Killey River","Killey River","Spring",38.0116866254268,38.0116866254268,NA,NA
"Copper","2010-07-27","Dissolved",0.407,"ug/l","t","Killey River","Killey River","Summer",2.29018026385582,1.80627287643309,NA,NA
"Zinc","2004-04-27","Dissolved",42.3,"ug/l","m",NA,"43","Spring",41.5890566784703,41.5890566784703,"Y","Y"
"Chromium","2006-07-25","Dissolved",1.32,"ug/l","m",NA,"43","Summer",657.433063721144,31.423089423324,NA,NA
"Zinc","2004-07-20","Dissolved",59.1,"ug/l","t","Funny River","Funny River","Summer",52.0704631776046,52.0704631776046,"Y","Y"
"Arsenic","2012-07-31","Dissolved",2.15,"ug/l","t","Funny River","Funny River","Summer",NA,NA,NA,NA
"Arsenic","2009-07-21","Dissolved",7.61,"ug/l","t","Moose River","Moose River","Summer",NA,NA,NA,NA
"Zinc","2005-04-26","Dissolved",25.8,"ug/l","m",NA,"40","Spring",44.9651370614346,44.9651370614346,NA,NA
"Copper","2006-07-25","Dissolved",0.319,"ug/l","m",NA,"40","Summer",4.42576819264737,3.28299629503553,NA,NA
"Copper","2013-05-07","Dissolved",0.576,"ug/l","t","Moose River","Moose River","Spring",4.24939580972314,3.1641192687153,NA,NA
"Copper","2009-04-28","Dissolved",0.39,"ug/l","m",NA,"43","Spring",3.97116313452296,2.97564296868864,NA,NA
"Zinc","2001-04-11","Dissolved",46,"ug/l","t","Russian River","Russian River","Spring",67.4145859564951,67.4145859564951,NA,NA
"Zinc","2012-05-01","Dissolved",54.5,"ug/l","m",NA,"82","Spring",49.7818277457936,49.7818277457936,"Y","Y"
"Arsenic","2006-04-25","Dissolved",0.682,"ug/l","t","Russian River","Russian River","Spring",NA,NA,NA,NA
"Lead","2012-05-01","Dissolved",0.232,"ug/l","t","Moose River","Moose River","Spring",24.6175728940782,0.959311473643046,NA,NA
"Arsenic","2009-07-21","Dissolved",9.08,"ug/l","t","Soldotna Creek","Soldotna Creek","Summer",NA,NA,NA,NA
"Zinc","2006-04-25","Dissolved",33.6,"ug/l","t","Moose River","Moose River","Spring",70.0351698740736,70.0351698740736,NA,NA
"Arsenic","2000-07-18","Dissolved",8,"ug/l","t","Moose River","Moose River","Summer",NA,NA,NA,NA
"Chromium","2012-05-01","Dissolved",0.447,"ug/l","t","Moose River","Moose River","Spring",880.584390494002,42.0889723596454,NA,NA
"Zinc","2007-07-17","Dissolved",14,"ug/l","t","Moose River","Moose River","Summer",74.0141869504271,74.0141869504271,NA,NA
"Zinc","2004-04-27","Dissolved",41.3,"ug/l","t","Moose River","Moose River","Spring",45.692345250373,45.692345250373,NA,NA
"Copper","2006-04-25","Dissolved",0.449,"ug/l","t","Moose River","Moose River","Spring",7.70513352956312,5.4281147401455,NA,NA
"Copper","2013-05-07","Dissolved",0.435,"ug/l","m",NA,"43","Spring",4.37345485882272,3.24778329936209,NA,NA
"Zinc","2007-05-01","Dissolved",51.9,"ug/l","t","Funny River","Funny River","Spring",44.58744876653,44.58744876653,"Y","Y"
"Chromium","2002-07-16","Dissolved",1.1,"ug/l","t","Funny River","Funny River","Summer",707.948711289675,33.8375674872023,NA,NA
"Arsenic","2002-04-10","Dissolved",3,"ug/l","t","Beaver Creek","Beaver Creek","Spring",NA,NA,NA,NA
"Zinc","2007-07-17","Dissolved",19.4,"ug/l","m",NA,"10.1","Summer",40.6138626471538,40.6138626471538,NA,NA
"Chromium","2011-04-26","Dissolved",1.3,"ug/l","m",NA,"18","Spring",706.429060014671,33.7649332670181,NA,NA
"Zinc","2009-04-28","Dissolved",23.4,"ug/l","m",NA,"18","Spring",42.6260437743502,42.6260437743502,NA,NA
"Zinc","2006-07-25","Dissolved",0.831,"ug/l","t","Moose River","Moose River","Summer",96.2096038113365,96.2096038113365,NA,NA
"Lead","2010-07-27","Dissolved",0.101,"ug/l","t","Beaver Creek","Beaver Creek","Summer",31.747233380882,1.23714410716865,NA,NA
"Zinc","2001-04-11","Dissolved",55,"ug/l","m",NA,"1.5","Spring",381.095324736638,381.095324736638,NA,NA
"Chromium","2002-07-16","Dissolved",1,"ug/l","t","Beaver Creek","Beaver Creek","Summer",1310.75525672368,62.6496930516263,NA,NA
"Lead","2007-05-01","Dissolved",0.224,"ug/l","m",NA,"1.5","Spring",1151.16440507778,44.8592242050896,NA,NA
"Lead","2009-04-28","Dissolved",0.174,"ug/l","m",NA,"6.5","Spring",126.00831098058,4.91036297599955,NA,NA
"Lead","2010-07-27","Dissolved",0.275,"ug/l","m",NA,"10.1","Summer",15.689503929285,0.611397443602222,NA,NA
"Chromium","2003-04-29","Dissolved",2.5,"ug/l","m",NA,"6.5","Spring",1865.33665230556,89.1568186398109,NA,NA
"Zinc","2008-04-22","Dissolved",0.591,"ug/l","m",NA,"18","Spring",44.063335247177,44.063335247177,NA,NA
"Copper","2004-07-20","Dissolved",1.06,"ug/l","m",NA,"18","Summer",4.46609036417266,3.31011138384734,NA,NA
"Arsenic","2009-07-21","Dissolved",1.04,"ug/l","m",NA,"12.5","Summer",NA,NA,NA,NA
"Chromium","2002-07-16","Dissolved",1.8,"ug/l","m",NA,"12.5","Summer",663.122983447645,31.6950484504002,NA,NA
"Copper","2012-05-01","Dissolved",3.97,"ug/l","m",NA,"12.5","Spring",4.527627008029,3.3514485480901,NA,"Y"
"Arsenic","2007-05-01","Dissolved",5.11,"ug/l","t","Moose River","Moose River","Spring",NA,NA,NA,NA
"Copper","2010-07-27","Dissolved",0.24,"ug/l","t","Moose River","Moose River","Summer",9.43947099255344,6.52544110219792,NA,NA
"Chromium","2007-07-17","Dissolved",0.609,"ug/l","m",NA,"18","Summer",628.106197160819,30.0213638313451,NA,NA
"Copper","2006-04-25","Dissolved",0.474,"ug/l","m",NA,"70","Spring",6.9323478180093,4.9319827759498,NA,NA
"Lead","2004-07-20","Dissolved",1.21,"ug/l","t","Killey River","Killey River","Summer",7.72872715740572,0.301177401633263,NA,"Y"
"Arsenic","2006-07-25","Dissolved",1.19,"ug/l","m",NA,"43","Summer",NA,NA,NA,NA
"Chromium","2012-05-01","Dissolved",0.229,"ug/l","m",NA,"43","Spring",642.257095411133,30.6977291766217,NA,NA
"Chromium","2007-05-01","Dissolved",0.0548,"ug/l","t","Slikok Creek","Slikok Creek","Spring",663.713112691384,31.7232546435789,NA,NA
"Copper","2010-07-27","Dissolved",0.461,"ug/l","t","Russian River","Russian River","Summer",6.22916179713174,4.47604509794692,NA,NA
"Zinc","2010-07-27","Dissolved",5.76,"ug/l","m",NA,"50","Summer",48.1660195115516,48.1660195115516,NA,NA
"Lead","2011-04-26","Dissolved",0.571,"ug/l","m",NA,"21","Spring",16.919349304466,0.659322752254475,NA,NA
"Chromium","2012-07-31","Dissolved",0.313,"ug/l","m",NA,"21","Summer",675.412568783438,32.2824492981708,NA,NA
"Chromium","2011-04-26","Dissolved",1.14,"ug/l","m",NA,"21","Spring",669.131954101361,31.9822570387926,NA,NA
"Zinc","2012-07-31","Dissolved",59.9,"ug/l","m",NA,"21","Summer",43.3853038939976,43.3853038939976,"Y","Y"
"Zinc","2007-05-01","Dissolved",18.8,"ug/l","m",NA,"21","Spring",40.5002522161076,40.5002522161076,NA,NA
"Copper","2010-07-27","Dissolved",0.561,"ug/l","m",NA,"21","Summer",4.2810256250143,3.1854713993448,NA,NA
"Arsenic","2010-07-27","Dissolved",0.686,"ug/l","m",NA,"21","Summer",NA,NA,NA,NA
"Chromium","2009-07-21","Dissolved",0.938,"ug/l","m",NA,"12.5","Summer",684.137215574616,32.6994580728046,NA,NA
"Chromium","2012-07-31","Dissolved",0.709,"ug/l","m",NA,"12.5","Summer",667.146292162779,31.8873490761365,NA,NA
"Chromium","2010-07-27","Dissolved",0.22,"ug/l","m",NA,"12.5","Summer",634.960765029402,30.3489891227681,NA,NA
"Zinc","2006-04-25","Dissolved",19.6,"ug/l","m",NA,"12.5","Spring",50.1119777386255,50.1119777386255,NA,NA
"Zinc","2010-07-27","Dissolved",25.3,"ug/l","m",NA,"12.5","Summer",40.6999214725748,40.6999214725748,NA,NA
"Arsenic","2012-07-31","Dissolved",1.08,"ug/l","m",NA,"31","Summer",NA,NA,NA,NA
"Zinc","2007-07-17","Dissolved",16.8,"ug/l","m",NA,"43","Summer",37.6231441814272,37.6231441814272,NA,NA
"Chromium","2007-05-01","Dissolved",0.715,"ug/l","m",NA,"43","Spring",591.821167066051,28.2870614235193,NA,NA
"Arsenic","2008-04-22","Dissolved",2.44,"ug/l","t","Funny River","Funny River","Spring",NA,NA,NA,NA
"Zinc","2004-04-27","Dissolved",31.2,"ug/l","m",NA,"40","Spring",42.7442463081776,42.7442463081776,NA,NA
"Arsenic","2013-05-07","Dissolved",0.698,"ug/l","t","Juneau Creek","Juneau Creek","Spring",NA,NA,NA,NA
"Chromium","2011-04-26","Dissolved",0.514,"ug/l","m",NA,"82","Spring",661.201532956455,31.603209578979,NA,NA
"Arsenic","2010-07-27","Dissolved",0.698,"ug/l","t","Juneau Creek","Juneau Creek","Summer",NA,NA,NA,NA
"Chromium","2010-04-27","Dissolved",0.591,"ug/l","t","Juneau Creek","Juneau Creek","Spring",977.373833877146,46.7151822393973,NA,NA
"Zinc","2002-07-16","Dissolved",32,"ug/l","m",NA,"31","Summer",39.2723933240711,39.2723933240711,NA,NA
"Zinc","2005-07-26","Dissolved",51.2,"ug/l","m",NA,"31","Summer",57.5536788503558,57.5536788503558,NA,NA
"Copper","2012-07-31","Dissolved",0.549,"ug/l","m",NA,"82","Summer",5.50288594569653,4.00006177587686,NA,NA
"Chromium","2010-07-27","Dissolved",0.411,"ug/l","t","Slikok Creek","Slikok Creek","Summer",948.870450996957,45.3528163978592,NA,NA
"Lead","2011-04-26","Dissolved",0.149,"ug/l","m",NA,"82","Spring",16.6451114540378,0.64863609693086,NA,NA
"Chromium","2006-04-25","Dissolved",0.19,"ug/l","m",NA,"40","Spring",667.279419042247,31.8937120932542,NA,NA
"Copper","2007-05-01","Dissolved",0.251,"ug/l","t","Moose River","Moose River","Spring",6.14932067554271,4.4239831225029,NA,NA
"Chromium","2011-04-26","Dissolved",0.669,"ug/l","t","Killey River","Killey River","Spring",545.927921377683,26.0935186238468,NA,NA
"Arsenic","2010-07-27","Dissolved",0.404,"ug/l","m",NA,"70","Summer",NA,NA,NA,NA
"Arsenic","2011-04-26","Dissolved",0.535,"ug/l","m",NA,"82","Spring",NA,NA,NA,NA
"Zinc","2009-04-28","Dissolved",41.5,"ug/l","m",NA,"12.5","Spring",43.2024636161196,43.2024636161196,NA,NA
"Arsenic","2012-07-31","Dissolved",0.517,"ug/l","m",NA,"82","Summer",NA,NA,NA,NA
"Chromium","2010-04-27","Dissolved",0.233,"ug/l","m",NA,"82","Spring",770.633178973168,36.8336742274428,NA,NA
"Copper","2008-04-22","Dissolved",0.373,"ug/l","m",NA,"82","Spring",5.26972954063519,3.84604730133686,NA,NA
"Chromium","2012-07-31","Dissolved",0.226,"ug/l","m",NA,"82","Summer",800.796378783505,38.2753737360879,NA,NA
"Zinc","2004-04-27","Dissolved",40.1,"ug/l","m",NA,"82","Spring",47.6821049710559,47.6821049710559,NA,NA
"Copper","2006-07-25","Dissolved",0.613,"ug/l","m",NA,"82","Summer",5.12973609003625,3.75326933294632,NA,NA
"Zinc","2011-04-26","Dissolved",22.5,"ug/l","m",NA,"82","Spring",42.4412570160676,42.4412570160676,NA,NA
"Copper","2000-07-18","Dissolved",5,"ug/l","m",NA,"82","Summer",5.05480640638678,3.7035146122893,NA,"Y"
"Arsenic","2006-04-25","Dissolved",2.58,"ug/l","m",NA,"31","Spring",NA,NA,NA,NA
"Zinc","2012-07-31","Dissolved",35.1,"ug/l","m",NA,"82","Summer",51.7429281134135,51.7429281134135,NA,NA
"Chromium","2006-04-25","Dissolved",1.2,"ug/l","m",NA,"82","Spring",825.591448829582,39.4604946956354,NA,NA
"Copper","2007-07-17","Dissolved",2.35,"ug/l","m",NA,"1.5","Summer",11.1817769354063,7.6089684029947,NA,NA
"Arsenic","2007-05-01","Dissolved",46.5,"ug/l","m",NA,"1.5","Spring",NA,NA,NA,NA
"Zinc","2004-04-27","Dissolved",40.8,"ug/l","m",NA,"1.5","Spring",581.82529734179,581.82529734179,NA,NA
"Zinc","2008-04-22","Dissolved",8.63,"ug/l","t","No Name Creek","No Name Creek","Spring",58.6133155084243,58.6133155084243,NA,NA
"Copper","2008-04-22","Dissolved",0.599,"ug/l","t","No Name Creek","No Name Creek","Spring",6.32121007626363,4.53599000669723,NA,NA
"Arsenic","2012-05-01","Dissolved",1.03,"ug/l","t","No Name Creek","No Name Creek","Spring",NA,NA,NA,NA
"Chromium","2006-07-25","Dissolved",2.17,"ug/l","m",NA,"18","Summer",673.217356081131,32.1775255137518,NA,NA
"Zinc","2007-05-01","Dissolved",20.6,"ug/l","m",NA,"18","Spring",42.016286888747,42.016286888747,NA,NA
"Zinc","2001-07-24","Dissolved",43,"ug/l","m",NA,"18","Summer",44.6730123558157,44.6730123558157,NA,NA
"Lead","2012-07-31","Dissolved",0.124,"ug/l","t","Beaver Creek","Beaver Creek","Summer",34.474519150944,1.34342251822002,NA,NA
"Zinc","2010-07-27","Dissolved",36.6,"ug/l","t","Beaver Creek","Beaver Creek","Summer",69.3005512602482,69.3005512602482,NA,NA
"Arsenic","2010-04-27","Dissolved",5.32,"ug/l","t","Beaver Creek","Beaver Creek","Spring",NA,NA,NA,NA
"Lead","2006-04-25","Dissolved",0.118,"ug/l","t","Moose River","Moose River","Spring",32.1881171628443,1.25432471520014,NA,NA
"Chromium","2007-07-17","Dissolved",0.674,"ug/l","t","Moose River","Moose River","Summer",1131.86216273308,54.099204796801,NA,NA
"Chromium","2009-07-21","Dissolved",0.814,"ug/l","m",NA,"21","Summer",700.810529164251,33.4963863881296,NA,NA
"Chromium","2006-04-25","Dissolved",0.846,"ug/l","m",NA,"50","Spring",711.44402570586,34.004631761154,NA,NA
"Chromium","2007-07-17","Dissolved",0.207,"ug/l","m",NA,"82","Summer",773.906651287294,36.9901351949965,NA,NA
"Zinc","2009-07-21","Dissolved",26.3,"ug/l","m",NA,"50","Summer",46.9343587058141,46.9343587058141,NA,NA
"Copper","2012-05-01","Dissolved",0.564,"ug/l","m",NA,"50","Spring",4.55001901797351,3.36647734330153,NA,NA
"Arsenic","2005-04-26","Dissolved",6.51,"ug/l","m",NA,"1.5","Spring",NA,NA,NA,NA
"Chromium","2007-07-17","Dissolved",2.12,"ug/l","m",NA,"1.5","Summer",1483.13071943335,70.8886604507628,NA,NA
"Copper","2012-05-01","Dissolved",2.16,"ug/l","m",NA,"1.5","Spring",118.588866126667,64.7742251662912,NA,NA
"Copper","2006-07-25","Dissolved",3.75,"ug/l","m",NA,"1.5","Summer",11.9712509592512,8.09462344254825,NA,NA
"Arsenic","2012-05-01","Dissolved",18.2,"ug/l","m",NA,"1.5","Spring",NA,NA,NA,NA
"Arsenic","2008-04-22","Dissolved",24.6,"ug/l","m",NA,"1.5","Spring",NA,NA,NA,NA
"Copper","2010-07-27","Dissolved",1.46,"ug/l","m",NA,"1.5","Summer",16.9108457469705,11.0728148654686,NA,NA
"Arsenic","2009-07-21","Dissolved",2.52,"ug/l","m",NA,"1.5","Summer",NA,NA,NA,NA
"Copper","2004-04-27","Dissolved",2.19,"ug/l","m",NA,"1.5","Spring",81.1410355347875,45.9133263507838,NA,NA
"Arsenic","2010-07-27","Dissolved",1.02,"ug/l","m",NA,"1.5","Summer",NA,NA,NA,NA
"Copper","2007-05-01","Dissolved",3.85,"ug/l","m",NA,"1.5","Spring",204.603081202363,106.224030651834,NA,NA
"Copper","2012-07-31","Dissolved",0.94,"ug/l","m",NA,"1.5","Summer",NA,NA,NA,NA
"Zinc","2000-07-18","Dissolved",12,"ug/l","t","No Name Creek","No Name Creek","Summer",66.2279558870977,66.2279558870977,NA,NA
"Lead","2011-04-26","Dissolved",0.301,"ug/l","t","No Name Creek","No Name Creek","Spring",22.4717473642212,0.875691733383309,NA,NA
"Copper","2013-05-07","Dissolved",0.731,"ug/l","t","No Name Creek","No Name Creek","Spring",1.84070545006534,1.48159643234742,NA,NA
"Arsenic","2010-04-27","Dissolved",1.87,"ug/l","t","No Name Creek","No Name Creek","Spring",NA,NA,NA,NA
"Zinc","2002-04-10","Dissolved",122,"ug/l","t","No Name Creek","No Name Creek","Spring",57.4922982211315,57.4922982211315,"Y","Y"
"Zinc","2009-04-28","Dissolved",2.55,"ug/l","t","No Name Creek","No Name Creek","Spring",47.6669363907698,47.6669363907698,NA,NA
"Zinc","2012-05-01","Dissolved",60.7,"ug/l","t","Killey River","Killey River","Spring",38.6633290842606,38.6633290842606,"Y","Y"
"Arsenic","2013-05-07","Dissolved",1.11,"ug/l","m",NA,"43","Spring",NA,NA,NA,NA
"Zinc","2012-05-01","Dissolved",33.9,"ug/l","m",NA,"43","Spring",41.1838601931307,41.1838601931307,NA,NA
"Zinc","2008-04-22","Dissolved",1.21,"ug/l","t","Killey River","Killey River","Spring",33.3705912975184,33.3705912975184,NA,NA
"Copper","2002-04-10","Dissolved",13,"ug/l","t","Killey River","Killey River","Spring",4.00719238861052,3.00011694401027,"Y","Y"
"Zinc","2012-07-31","Dissolved",57.5,"ug/l","t","Killey River","Killey River","Summer",24.3862916912307,24.3862916912307,"Y","Y"
"Copper","2010-07-27","Dissolved",0.246,"ug/l","m",NA,"43","Summer",4.95187787786739,3.63505590034407,NA,NA
"Copper","2008-04-22","Dissolved",0.601,"ug/l","t","Killey River","Killey River","Spring",3.37884537133013,2.57016449267874,NA,NA
"Copper","2007-07-17","Dissolved",0.448,"ug/l","t","Killey River","Killey River","Summer",3.0246957576028,2.32461054299574,NA,NA
"Copper","2012-07-31","Dissolved",0.41,"ug/l","m",NA,"43","Summer",4.36484384120237,3.24198333047413,NA,NA
"Zinc","2007-05-01","Dissolved",14.4,"ug/l","t","Killey River","Killey River","Spring",34.9991991838784,34.9991991838784,NA,NA
"Zinc","2009-07-21","Dissolved",40.5,"ug/l","m",NA,"43","Summer",43.2967971349362,43.2967971349362,NA,NA
"Zinc","2013-05-07","Dissolved",59.9,"ug/l","m",NA,"10.1","Spring",NA,NA,NA,NA
"Chromium","2002-07-16","Dissolved",2,"ug/l","m",NA,"10.1","Summer",680.367317135647,32.5192696060213,NA,NA
"Chromium","2010-04-27","Dissolved",0.587,"ug/l","m",NA,"21","Spring",740.987244940564,35.4166982833494,NA,NA
"Zinc","2011-04-26","Dissolved",41.3,"ug/l","m",NA,"10.1","Spring",47.7378814318113,47.7378814318113,NA,NA
"Chromium","2010-07-27","Dissolved",0.212,"ug/l","t","Russian River","Russian River","Summer",891.910585144,42.630326372628,NA,NA
"Copper","2013-05-07","Dissolved",0.344,"ug/l","t","Russian River","Russian River","Spring",8.18247709989534,5.73223291849925,NA,NA
